id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo
243972,6166000038444,Kaputei Worcestershire Sauce 250G,FOOD,DRY,KAPUTEI,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Cooking Ingredients/Cooking Sauces & Pastes/Other Brown & Red Sauce,,pieces,1,1,10,389,KES,KES389.00,389.00,lowStock,2,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
171041,6008677004097,Clovers Bright Yellow Food Colour Powder 10g,FOOD,DRY,CLOVER,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Food Colouring & Essences,10g,pieces,1,1,10,23,KES,KES23.00,23.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
101986,6164002645431,Confini Classic Black Licorice Plain Belts Candy 75g,FOOD,DRY,CONFINI,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Candy/Others candy,75g,pieces,1,1,10,150,KES,KES150.00,150.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
238871,710497949187,Nutcracker Roasted & Salted Macadamia 80G,FOOD,DRY,,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Nuts, Dates & Dried Fruits/Nuts & Seeds/Nuts",80G,pieces,1,1,10,255,KES,KES255.00,255.00,lowStock,6,True,6,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
116402,6161106031276,Wots Plain Sev 130G,FOOD,DRY,WOTS,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips",130g,pieces,1,1,10,212,KES,KES212.00,212.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
16065,6164000066641,Festival Banana Essence 50ml,FOOD,DRY,FESTIVAL FOOD,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Food Colouring & Essences,50ml,pieces,1,1,10,90,KES,KES90.00,90.00,lowStock,2,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
133025,6161102370102,Presto Tomato Sauce 5Kg,FOOD,DRY,PRESTO,KENYA,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Flavored Sauces",5KG,pieces,1,1,10,500,KES,KES500.00,500.00,lowStock,3,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
58217,8422243051205,Luxeapers Caperberries In Vinegar 240g,FOOD,DRY,LUXEAPERS,Spain,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Tins, Jars & Packets/Pickles & Olives/Gherkins & Pickles",100g,pieces,1,1,10,450,KES,KES450.00,450.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
145154,6161102370188,Lyons Hot & Sweet Sauce 400G,FOOD,DRY,LYONS,KENYA,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Hot Sauces",400G,pieces,0.5,1,24,125,KES,KES125.00,125.00,inStock,,True,24,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
171197,8412147029066,Jake Jelly Mania Sharks Gummies Candy 100g,FOOD,DRY,JAKE,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Candy/Chews Candy,100g,pieces,1,1,10,293,KES,KES293.00,293.00,lowStock,3,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
211706,6291007914092,Britannia Cashew Biscuits 33G,FOOD,DRY,BRITANIA,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Biscuits, Crackers & Cakes/Coated Biscuits & Wafers/Coated Biscuits",33g,pieces,1,1,10,30,KES,KES30.00,30.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
118850,721782232082,MJ’s Original Mayonnaise 237ml,FOOD,DRY,MJ'S,United States,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Mayonnaise",237ml,pieces,1,1,10,207,KES,KES207.00,207.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
155163,6161100917781,Tropical Heat Snacks Heroes Potato Chips Salt & Vinegar 40G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips",40g,pieces,1,1,10,60,KES,KES60.00,60.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
191514,6164004732115,Kaputei Pasta Cheese 375G,FOOD,DRY,KAPUTEI,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Cooking Ingredients/Cooking Sauces & Pastes/Pasta Sauce,,pieces,1,1,10,399,KES,KES399.00,399.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
98946,8295665126,De Nigris Raw Unfiltered Honey And Ginger Apple Cider Vinegar 500ml,FOOD,DRY,DE NIGRIS,United States,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Salad Dressings & Vinaigrettes/Special Vinegars",500ml,pieces,1,1,10,1090,KES,KES1090.00,1090.00,lowStock,8,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
204016,8852646131509,Thai Dancer Tropical Mangosteen And Chili Sauce 150ml,FOOD,DRY,Thai Dancer,Thailand,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Salad Dressings & Vinaigrettes/Salad Dressings",150ml,pieces,1,1,10,485,KES,KES485.00,485.00,lowStock,7,True,7,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
16067,6164000066825,Festival Rose Essence 50ml,FOOD,DRY,FESTIVAL FOOD,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Food Colouring & Essences,50ml,pieces,1,1,10,90,KES,KES90.00,90.00,lowStock,1,True,1,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
