product_id,name,price_kes,old_price_kes,discount,in_stock,product_url,image_url,category
263586,Golden Coconut Cookies 200G,99.0,,50.25,True,https://www.quickmart.co.ke/golden-coconut-cookies-200g-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_506117.png?t=1777251436,foods
263543,Golden Chocolate Cookies 200G,99.0,,50.25,True,https://www.quickmart.co.ke/golden-chocolate-cookies-200g-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_506114.png?t=1777251466,foods
263562,Golden Peanut Cookies 200G,99.0,,50.25,True,https://www.quickmart.co.ke/golden-peanut-cookies-200g-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_506115.png?t=1777252098,foods
263578,Golden Butter Cookies 200G,99.0,,50.25,True,https://www.quickmart.co.ke/golden-butter-cookies-200g-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_506116.png?t=1777251437,foods
387629,Clovers Chilli Sauce 500G,61.0,,50.0,True,https://www.quickmart.co.ke/clovers-chilli-sauce-500g-29,https://cfn.quickmart.co.ke/resized/230_230/product_images_420625.png?t=1777249173,foods
1584617,Blue Band Instant Porridge 500G,80.0,,50.0,True,https://www.quickmart.co.ke/blue-band-instant-porridge-500g-53,https://cfn.quickmart.co.ke/resized/230_230/product_images_510405.png?t=1777241767,foods
1595554,Blue Band Porridge 250G,40.0,,50.0,True,https://www.quickmart.co.ke/blue-band-porridge-250g-54,https://cfn.quickmart.co.ke/resized/230_230/product_images_510406.png?t=1777241767,foods
904242,Freddy Hirsch F/Super Bbq Grill 200G,209.0,,36.47,True,https://www.quickmart.co.ke/freddy-hirsch-f/super-bbq-grill-200g-25,https://cfn.quickmart.co.ke/resized/230_230/product_images_654781.png?t=1777247234,foods
904248,F/Hirsch Fish Spice Seasoning 200G,209.0,,36.47,True,https://www.quickmart.co.ke/f/hirsch-fish-spice-seasoning-200g-25,https://cfn.quickmart.co.ke/resized/230_230/product_images_654783.png?t=1777247231,foods
238371,Peptang Mixed Fruit Jam 1Kg Pet,299.0,,33.56,True,https://www.quickmart.co.ke/peptang-mixed-fruit-jam-1kg-pet-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_450420.png?t=1777249809,foods
