id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo,sku,standard_sku,standard_sku_2,sku_qty,sku_unit,flag_missing_sku,flag_zero_or_negative,flag_size_outlier,flag_iqr_outlier,unit_price,lier,flag_unit_price_outlier,flag_any_out,unit_price_index,department,category,subcategory,category_median_unit_price_x,category_price_index,category_median_unit_price_y,category_median_unit_price,product_price_segment,category_premium_ceiling,price_gap_to_premium,flag_money_on_table,uplift_factor,should_be_price_index,should_be_unit_price,should_be_price,price_uplift_potential
160724,8007290130174,GRANORO NO 17 RIGATONI 500G,FOOD,DRY,GRANORO,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Healthy Pasta",500g,pieces,1.0,1.0,10,350,KES,KES350.00,350.0,lowStock,8.0,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,0.7,False,,False,45.16129032258064,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,100.0,0.7,0.7,Mainstream,713.5714285714287,613.5714285714287,True,0.6,468.14285714285717,3.2769999999999997,1638.4999999999998,1288.4999999999998
140091,8697430822221,Carrefour Mlogo Pasta Spaghetti 400G,FOOD,DRY,MAJID AL FUTTAIM,Turkey,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Spaghetti",400g,pieces,1.0,1.0,4,185,KES,KES185.00,185.0,inStock,,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,400G,400G,400G,400.0,G,False,False,False,False,0.4625,False,,False,29.838709677419356,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,66.07142857142858,0.7,0.7,Value,713.5714285714287,647.5000000000001,True,0.4,325.07142857142867,2.2755000000000005,910.2000000000002,725.2000000000002
160732,8007290331212,GORO NO 121 LASAGNE 500G,FOOD,DRY,GRANORO,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Special Shape Pasta",500g,pieces,1.0,1.0,10,711,KES,KES711.00,711.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,1.422,False,,False,91.74193548387096,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,203.14285714285717,0.7,0.7,Premium,713.5714285714287,510.4285714285715,False,0.0,203.14285714285717,1.422,711.0,0.0
103122,8076809513661,Barilla Bolognese Pasta Sauce 400g,FOOD,DRY,BARILLA,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Special Shape Pasta",400g,pieces,1.0,1.0,10,895,KES,KES895.00,895.0,lowStock,9.0,True,9,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,400G,400G,400G,400.0,G,False,False,False,False,2.2375,False,,False,144.3548387096774,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,319.6428571428571,0.7,0.7,Premium,713.5714285714287,393.92857142857156,False,0.0,319.6428571428571,2.2375,894.9999999999999,0.0
156612,8697430822269,Carrefour Pasta Chiffrini Rigate 400G,FOOD,DRY,MAJID AL FUTTAIM,Turkey,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",400g,pieces,1.0,1.0,10,185,KES,KES185.00,185.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,400G,400G,400G,400.0,G,False,False,False,False,0.4625,False,,False,29.838709677419356,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,66.07142857142858,0.7,0.7,Value,713.5714285714287,647.5000000000001,True,0.4,325.07142857142867,2.2755000000000005,910.2000000000002,725.2000000000002
156616,2062629003068,Carrefour Pasta Ditali Rigati 400G,FOOD,DRY,MAJID AL FUTTAIM,France,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",400g,pieces,1.0,1.0,4,185,KES,KES185.00,185.0,inStock,,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,400G,400G,400G,400.0,G,False,False,False,False,0.4625,False,,False,29.838709677419356,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,66.07142857142858,0.7,0.7,Value,713.5714285714287,647.5000000000001,True,0.4,325.07142857142867,2.2755000000000005,910.2000000000002,725.2000000000002
39424,6161102170757,Ranee Spaghetti Standard 400G,FOOD,DRY,RANEE,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Spaghetti",400G,pieces,1.0,1.0,10,82,KES,KES82.00,82.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True,400G,400G,400G,400.0,G,False,False,False,False,0.205,False,,False,13.2258064516129,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,29.28571428571429,0.7,0.7,Value,713.5714285714287,684.2857142857143,True,0.4,303.0,2.1209999999999996,848.3999999999999,766.3999999999999
240849,3560070825486,Carrefour Whole Wheat Penne 500G,FOOD,DRY,CRF,France,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Healthy Pasta",,pieces,1.0,1.0,10,799,KES,KES799.00,799.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,1.598,False,,False,103.09677419354838,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,228.28571428571428,0.7,0.7,Premium,713.5714285714287,485.2857142857144,False,0.0,228.28571428571428,1.598,799.0,0.0
156611,8697430822238,Carrefour Pasta Vermicelli 400G,FOOD,DRY,MAJID AL FUTTAIM,Turkey,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Soup Pasta & Vermicelli",400g,pieces,1.0,1.0,4,185,KES,KES185.00,185.0,inStock,,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,400G,400G,400G,400.0,G,False,False,False,False,0.4625,False,,False,29.838709677419356,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,66.07142857142858,0.7,0.7,Value,713.5714285714287,647.5000000000001,True,0.4,325.07142857142867,2.2755000000000005,910.2000000000002,725.2000000000002
156618,8697430823099,Carrefour Whole Wheat Penne 400G,FOOD,DRY,MAJID AL FUTTAIM,France,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",400g,pieces,1.0,1.0,10,229,KES,KES229.00,229.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,400G,400G,400G,400.0,G,False,False,False,False,0.5725,False,,False,36.93548387096774,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,81.78571428571429,0.7,0.7,Value,713.5714285714287,631.7857142857143,True,0.4,334.50000000000006,2.3415000000000004,936.6000000000001,707.6000000000001
